"","gene_name","logfc","qval","pval","race","exp"
"180","TTC36",2.73916110145529,0.00652680797661207,2.4409192246555e-05,"white","up"
"181","IGLJ3",2.97330528051179,0.00652680797661207,2.47253969579697e-05,"white","up"
"182","IGKV3-20",3.48343031703412,0.00658438635973841,2.55657611980542e-05,"white","up"
"183","IGKV3-20",3.48343066756742,0.00658438635973841,2.55656914145419e-05,"white","up"
"184","IGHA2",2.69622797918485,0.00704364007331355,2.77320728545583e-05,"white","up"
"185","CH507-513H4.5",1.94044170787526,0.00727966942030607,2.9769813169267e-05,"white","up"
"186","KCNN2",1.24931276174657,0.00802664583417027,3.35229270025383e-05,"white","up"
"187","RASGEF1B",1.57443808565052,0.00811515336980072,3.42456224167176e-05,"white","up"
"188","IGLC2",3.81790205937667,0.00811515336980072,3.40702348158306e-05,"white","up"
"189","SLC39A5",1.63801084906153,0.00878452277252407,3.76435871005665e-05,"white","up"
"190","BCHE",1.10160831265633,0.00881846440299712,3.79808568649054e-05,"white","up"
"191","IGKV3D-20",3.27366864492396,0.00883289754243162,3.8427292884502e-05,"white","up"
"192","IL1B",1.13280901982727,0.00938881878341878,4.12542720406028e-05,"white","up"
"193","IGLV3-25",2.09371604340888,0.00955197341244465,4.22639215892362e-05,"white","up"
"194","IGHG1",4.93957247158493,0.0103142954640875,4.73400405229807e-05,"white","up"
"195","POLR1E",1.01881000948796,0.0103445901567966,4.92068353457054e-05,"white","up"
"196","TMEM45A",1.20934972080555,0.0103445901567966,4.80451613404931e-05,"white","up"
"197","ST6GAL1",1.56919723385572,0.0103445901567966,4.80862824407957e-05,"white","up"
"198","IGKV3D-11",2.50867309737392,0.0104496922497251,5.00072282028086e-05,"white","up"
"199","SHBG",1.90039020137158,0.0104630823565829,5.05943623856364e-05,"white","up"
"200","CYP1A1",1.12543398045101,0.0107482227452073,5.28386483167331e-05,"white","up"
"201","MT2P1",2.48022895191477,0.0110423524767531,5.54855873603488e-05,"white","up"
"202","MT2P1",2.4806082126589,0.0110423524767531,5.54330235127409e-05,"white","up"
"203","CCL2",2.09668122864491,0.0121512855816573,6.23793482396051e-05,"white","up"
